Symbol;Side;Price;Share;GrossPL;State;Gateway;Time;GatewayFee;Destination;RegFee;Date;ClearingFee;ActivityFee
V.NY;Buy;73.98;100;0.00;Filled;EDGX;15:17:56.160;0.30;ROUX;0.00;20160630;0.0169;0.00
V.NY;ShortSell;73.98;74;0.00;Filled;EDGX;15:17:27.967;0.2146;ROUX;0.11934;20160630;0.01251;0.01021
V.NY;ShortSell;73.98;26;0.00;Partially Filled;EDGX;15:17:27.967;0.0754;ROUX;0.04193;20160630;0.00439;0.00359
HSY.NY;Sell;113.65;100;-2.00;Filled;EDGX;15:17:07.005;0.29;ROUX;0.24776;20160630;0.0169;0.0138
HSY.NY;Buy;113.67;100;0.00;Filled;EDGX;15:16:56.928;0.30;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;Buy;91.24;100;5.00;Filled;EDGX;15:16:35.081;0.29;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;ShortSell;91.29;49;0.00;Filled;EDGA;15:14:22.624;0.1225;ROUT;0.09752;20160630;0.00828;0.00676
TSCO.NQ;ShortSell;91.29;50;0.00;Partially Filled;EDGA;15:14:22.624;0.125;ROUT;0.09951;20160630;0.00845;0.0069
TSCO.NQ;ShortSell;91.29;1;0.00;Partially Filled;EDGA;15:14:22.624;0.0025;ROUT;0.00199;20160630;0.00017;0.00014
TSCO.NQ;Buy;91.51;100;01.sty;Filled;EDGX;15:06:23.506;0.30;ROUX;0.00;20160630;0.0169;0.00
TSCO.NQ;ShortSell;91.5201;100;0.00;Filled;EDGA;15:01:29.630;0.25;ROUT;0.19951;20160630;0.0169;0.0138
GIS.NY;Sell;71.06;100;-3.00;Filled;EDGX;14:57:50.709;0.29;ROUX;0.15491;20160630;0.0169;0.0138
GIS.NY;Buy;71.09;100;0.00;Filled;EDGA;14:57:38.101;0.25;ROUT;0.00;20160630;0.0169;0.00
GIS.NY;Buy;71.09;100;-3.00;Filled;EDGX;14:57:37.702;0.30;ROUX;0.00;20160630;0.0169;0.00
GIS.NY;ShortSell;71.06;100;0.00;Filled;EDGA;14:57:19.724;0.05;ROUT;0.15491;20160630;0.0169;0.0138
STRZA.NQ;Buy;30.23;100;-8.99;Filled;EDGX;14:50:31.957;0.29;ROUX;0.00;20160630;0.0169;0.00
STRZA.NQ;ShortSell;30.1401;100;0.00;Filled;EDGA;14:49:23.470;0.25;ROUT;0.06571;20160630;0.0169;0.0138
HSY.NY;Buy;112.08;100;-16.00;Filled;EDGX;14:46:31.104;0.29;ROUX;0.00;20160630;0.0169;0.00
